OID;OBJECTID;IDDATACION;CODIGOMUES;UNIDADGEOL;LITOLOGIA;EDADAÑOSB;ERRORAÑOS;EDADMA;ERRORMA;EDADGRASIM;EDADGRAS_1;EDADESTRAT;EDADESHERE;METODODATA;MATERIALAN;RELACIONIN;MSWD;PX2;DISPERSION;NUMEROGRAN;NUMEROALIC;FUENTEGEOR;COORDENADA;COORDENA_1;SISTEMACOO;LATITUD;LONGITUD;REFERENCIA;CITAREFERE;IDREFERENC;COMENTARIO;URL
2120;2121;3455;AB–6;Formación Silgará;Esquisto micáceo; ; ;213;± 3; ; ;Triásico Tardío (T3); ;Ar–Ar;Moscovita; ; ; ; ; ; ; ;1246814;1118267;MAGNA_Colombia_Bogota;"6° 49' 36,826"" N";"73° 00' 27,445"" W";Restrepo Pace, P.A. 1995. Late Precambrian to early Mesozoic tectonic evolution of the Colombian Andes based on new geocronological, geochemical and isotopic date. Tesis de doctorado, Universidad de Arizona, 195 p. Tucson, USA.;Restrepo Pace (1995);246;Edad de meseta interpretada como edad de cristalización;http://arizona.openrepository.com/arizona/handle/10150/187450
2121;2122;3487;IMN–12257;Formación Silgará;Filita; ; ;221;± 8; ; ;Triásico Tardío (T3); ;K–Ar;Roca total; ; ; ; ; ; ;Las coordenadas (8° 04' N, 72° 57' W) reportadas por los autores no coinciden con la localización de la datación en la Figura 2. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;1383382;1122404;MAGNA_Colombia_Bogota;"8° 03' 41,213"" N";"72° 58' 01,575"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114; ;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2122;2123;3569;AB–7; ;Dique basáltico foliado; ; ;242;± 5; ; ;Triásico Medio (T2); ;Ar–Ar;Hornblenda; ; ; ; ; ; ; ;1246875;1118267;MAGNA_Colombia_Bogota;"6° 49' 38,826"" N";"73° 00' 27,445"" W";Restrepo Pace, P.A. 1995. Late Precambrian to early Mesozoic tectonic evolution of the Colombian Andes based on new geocronological, geochemical and isotopic date. Tesis de doctorado, Universidad de Arizona, 195 p. Tucson, USA.;Restrepo Pace (1995);246;Edad integrada. Dique que intruye la Formación Silgará;http://arizona.openrepository.com/arizona/handle/10150/187450
2123;2124;3605;BOC–1;Batolito de Ocaña;Cuarzomonzonita a granito; ; ;268;± 26; ; ;Pérmico (P); ;Sm–Nd; ;0,7007 ± 0,003;1,04; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 9;1398168;1083004;MAGNA_Colombia_Bogota;"8° 11' 45,400"" N";"73° 19' 27,295"" W";Ordóñez Carmona, O. 2001. Caracterização isotópica Rb–Sr e Sm–Nd dos principais eventos magmáticos nos Andes Colombianos. Tesis de doctorado, Universidad de Brasilia, 176 p. Brasilia.;Ordóñez Carmona (2001);207;Edad isócrona para 4 muestras, según el autor la relación baja de Sr sugiere que la muestra puede ser más joven posiblemente del Jurásico; 
2124;2125;3606;BOC–2, BOC–3;Batolito de Ocaña;Cuarzomonzonita a granito; ; ;268;± 26; ; ;Pérmico (P); ;Sm–Nd; ;0,7007 ± 0,003;1,04; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 9;1396761;1083346;MAGNA_Colombia_Bogota;"8° 10' 59,585"" N";"73° 19' 16,203"" W";Ordóñez Carmona, O. 2001. Caracterização isotópica Rb–Sr e Sm–Nd dos principais eventos magmáticos nos Andes Colombianos. Tesis de doctorado, Universidad de Brasilia, 176 p. Brasilia.;Ordóñez Carmona (2001);207;Edad isócrona para 4 muestras, según el autor la relación baja de Sr sugiere que la muestra puede ser más joven posiblemente del Jurásico; 
2125;2126;3607;BOC–4;Batolito de Ocaña;Cuarzomonzonita a granito; ; ;268;± 26; ; ;Pérmico (P); ;Sm–Nd; ;0,7007 ± 0,003;1,04; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 9;1396584;1084107;MAGNA_Colombia_Bogota;"8° 10' 53,798"" N";"73° 18' 51,366"" W";Ordóñez Carmona, O. 2001. Caracterização isotópica Rb–Sr e Sm–Nd dos principais eventos magmáticos nos Andes Colombianos. Tesis de doctorado, Universidad de Brasilia, 176 p. Brasilia.;Ordóñez Carmona (2001);207;Edad isócrona para 4 muestras, según el autor la relación baja de Sr sugiere que la muestra puede ser más joven posiblemente del Jurásico; 
2126;2127;3678;BU 1132;Grupo Plutónico de Santander;Cuarzomonzonita; ; ;349,4;± 17,5; ; ;Carbonífero (C); ;K–Ar;Roca total; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 2;1304737;1164198;MAGNA_Colombia_Bogota;"7° 20' 57,752"" N";"72° 35' 25,868"" W";Boinet, T., Bourgois, J., Bellon, H. & Toussaint, J.F. 1985. Age et répartition du magmatisme Prémésozoïque des Andes de Colombie. Comptes Rendus de l'Académie des Sciences, 300(10): 445–450. París.;Boinet et al. (1985);47; ; 
2127;2128;3679;AB–7; ;Dique foliado con hornblenda y cuarzo; ; ;350; ; ; ;Carbonífero (C); ;Ar–Ar;Hornblenda; ; ; ; ; ; ; ;1246875;1118267;MAGNA_Colombia_Bogota;"6° 49' 38,826"" N";"73° 00' 27,445"" W";Restrepo Pace, P.A. 1995. Late Precambrian to early Mesozoic tectonic evolution of the Colombian Andes based on new geocronological, geochemical and isotopic date. Tesis de doctorado, Universidad de Arizona, 195 p. Tucson, USA.;Restrepo Pace (1995);246;Edad máxima. Dique que intruye a la Formación Silgará;http://arizona.openrepository.com/arizona/handle/10150/187450
2128;2129;3696;PC–1;Formación Silgará;Esquisto; ; ;383,4; ; ; ;Devónico (D); ;Ar–Ar;Biotita; ; ; ; ; ; ; ;1317792;1152452;MAGNA_Colombia_Bogota;"7° 28' 03,814"" N";"72° 41' 47,412"" W";Restrepo Pace, P.A. 1995. Late Precambrian to early Mesozoic tectonic evolution of the Colombian Andes based on new geocronological, geochemical and isotopic date. Tesis de doctorado, Universidad de Arizona, 195 p. Tucson, USA.;Restrepo Pace (1995);246;Edad de fusión total;http://arizona.openrepository.com/arizona/handle/10150/187450
2129;2130;3706;IMN–12262;Gneis de Bucaramanga;Metadiorita; ; ;413;± 30; ; ;Devónico (D); ;K–Ar;Hornblenda; ; ; ; ; ; ;Las coordenadas (8° 17' N, 73° 24' W) reportadas por los autores no coinciden con la localización de la datación en la Figura 2. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;1407658;1073995;MAGNA_Colombia_Bogota;"8° 16' 54,805"" N";"73° 24' 21,085"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114;Interpretada como la edad de un evento termal;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2130;2131;3713;IMN–14362;Gneis de Bucaramanga;Pegmatita; ; ;432;± 8; ; ;Silúrico (S); ;K–Ar;Moscovita; ; ; ; ; ; ; ;1284203;1161762;MAGNA_Colombia_Bogota;"7° 09' 49,816"" N";"72° 36' 47,413"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114;Interpretada como la edad de un evento termal;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2131;2132;3717;IMN–14362;Gneis de Bucaramanga;Pegmatita; ; ;439;± 12; ; ;Silúrico (S); ;K–Ar;Moscovita; ; ; ; ; ; ; ;1284203;1161762;MAGNA_Colombia_Bogota;"7° 09' 49,816"" N";"72° 36' 47,413"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114;Interpretada como la edad de un evento termal;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2132;2133;3725;IMN–12256;Ortogneis;Gneis granítico; ; ;450;± 80; ; ;Ordovícico (O); ;Rb–Sr;Roca total; ; ; ; ; ; ;Las coordenadas (7° 15' N, 72° 48' W) reportadas por los autores no coinciden con la localización de la datación en la Figura 2. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;1292694;1141833;MAGNA_Colombia_Bogota;"7° 14' 28,102"" N";"72° 47' 35,993"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114;Interpretada como la edad de un evento termal;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2133;2134;3729;BU 1101; ;Gabro; ; ;456;± 22,8; ; ;Ordovícico (O); ;K–Ar;Roca total; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 2;1320599;1146756;MAGNA_Colombia_Bogota;"7° 29' 35,750"" N";"72° 44' 52,846"" W";Boinet, T., Bourgois, J., Bellon, H. & Toussaint, J.F. 1985. Age et répartition du magmatisme Prémésozoïque des Andes de Colombie. Comptes Rendus de l'Académie des Sciences, 300(10): 445–450. París.;Boinet et al. (1985);47; ; 
2134;2135;3731;IMN–14362;Gneis de Bucaramanga;Pegmatita; ; ;457;± 13; ; ;Ordovícico (O); ;K–Ar;Moscovita; ; ; ; ; ; ; ;1284203;1161762;MAGNA_Colombia_Bogota;"7° 09' 49,816"" N";"72° 36' 47,413"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114; ;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2135;2136;3747;BP–2;Ortogneis de Berlín;Ortogneis; ; ;477;± 16; ; ;Ordovícico (O); ;U–Pb;Circón; ; ; ; ;3; ; ;1310653;1138854;MAGNA_Colombia_Bogota;"7° 24' 12,817"" N";"72° 49' 11,422"" W";Restrepo Pace, P.A. 1995. Late Precambrian to early Mesozoic tectonic evolution of the Colombian Andes based on new geocronological, geochemical and isotopic date. Tesis de doctorado, Universidad de Arizona, 195 p. Tucson, USA.;Restrepo Pace (1995);246;477 ± 16 Ma es el valor del intercepto superior interpretada como la edad de cristalización de circón. Se registra una pérdida de Pb intercepto inferior a 254 ± 60 Ma (MSWD = 0,4);http://arizona.openrepository.com/arizona/handle/10150/187450
2136;2137;3780;OT–1;Gneis de Bucaramanga;Gneis anfibólico; ; ;574;± 8; ; ;Neoproterozoico (NP); ;Ar–Ar;Hornblenda; ; ; ; ; ; ;Localización tomada de Restrepo Pace (1995) [246];1409773;1070675;MAGNA_Colombia_Bogota;"8° 18' 03,826"" N";"73° 26' 09,439"" W";Restrepo Pace, P.A., Ruiz, J., Gehrels, G.E. & Cosca, M. 1997. Geochronology and Nd isotopic data of Grenville–age rocks in the Colombian Andes: New constraints for late Proterozoic–early Paleozoic paleocontinental reconstructions of the Americas. Ea;Restrepo Pace et al. (1997);247;Edad integrada;http://www.sciencedirect.com/science/article/pii/S0012821X97000915
2137;2138;3798;OT–2;Gneis de Bucaramanga;Gneis anfibólico; ; ;668;± 9; ; ;Neoproterozoico (NP); ;Ar–Ar;Hornblenda; ; ; ; ; ; ;Localización tomada de Restrepo Pace (1995) [246];1409773;1070675;MAGNA_Colombia_Bogota;"8° 18' 03,826"" N";"73° 26' 09,439"" W";Restrepo Pace, P.A., Ruiz, J., Gehrels, G.E. & Cosca, M. 1997. Geochronology and Nd isotopic data of Grenville–age rocks in the Colombian Andes: New constraints for late Proterozoic–early Paleozoic paleocontinental reconstructions of the Americas. Ea;Restrepo Pace et al. (1997);247;Edad integrada;http://www.sciencedirect.com/science/article/pii/S0012821X97000915
2138;2139;3800;IMN–13199;Gneis de Bucaramanga;Gneis biotítico; ; ;680;± 140; ; ;Neoproterozoico (NP); ;Rb–Sr;Roca total; ; ; ; ; ; ;Las coordenadas (7° 16' N, 72° 54' W) reportadas por los autores no coinciden con la localización de la datación en la Figura 2. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;1295485;1129701;MAGNA_Colombia_Bogota;"7° 16' 00,000"" N";"72° 54' 11,142"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114; ;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2139;2140;3825;PCM–1105;Gneis de Bucaramanga;Gneis biotítico; ; ;864;± 66; ; ;Neoproterozoico (NP); ;U–Pb SHRIMP;Circón; ;0,26; ; ;2; ;"Las coordenadas (7° 18' 08"" N, 72° 05' 42"" W) reportadas por los autores no coinciden con la localización de la datación en la Figura 20 de Cardona (2003) [63]. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura";1299110;1131326;MAGNA_Colombia_Bogota;"7° 17' 57,820"" N";"72° 53' 17,871"" W";Cordani, U.G., Cardona, A., Jiménez, D., Liu, D. & Nutman, A.P. 2005. Geochronology of Proterozoic basement inliers from the Colombian Andes: Tectonic history of remnants from a fragmented Grenville belt. En: Vaughan, A.P.M., Leat, P.T. & Pankhurst, R.J;Cordani et al. (2005);80;La edad de 864 ± 66 Ma es interpretada como la del último evento metamórfico. Se analizaron en total 16 granos que arrojaron edades distribuidas entre 1550 Ma y 900 Ma, tres granos presentan edades más viejas que 1430 Ma y los otros están entre 1200;http://sp.lyellcollection.org/content/246/1/329.abstract
2140;2141;3868;IMN–12263;Gneis de Bucaramanga;Gneis hornbléndico; ; ;945;± 40; ; ;Neoproterozoico (NP); ;K–Ar;Hornblenda; ; ; ; ; ; ;Las coordenadas (8° 17' N, 73° 25' W) reportadas por los autores no coinciden con la localización de la datación en la Figura 2. Se obtuvo las coordenadas del punto a partir de la georreferenciación de esta figura;1407653;1071810;MAGNA_Colombia_Bogota;"8° 16' 54,782"" N";"73° 25' 32,494"" W";Goldsmith, R., Marvin, R.F. & Mehnert, H.H. 1971. Radiometric ages in the Santander massif, Eastern Cordillera, Colombian Andes. United States Geological Survey Professional Paper, (750–D): D44–D49. Denver, USA.;Goldsmith et al. (1971);114;Interpretada como la edad de un evento termal;http://books.google.com.co/books?id=AMhUAAAAYAAJ&pg=SL4-PA44&lpg=SL4-PA44&dq=Radiometric+ages+in+the+Santander+massif,+Eastern+Cordillera,+Colombian+Andes.+United+States+Geological+Survey+Professional+Paper&source=bl&ots=8L9fzVLKXy&sig=_ENs8U2cxaVZT2gRVz
2141;2142;4275;IGN–CST;Unidad informal Cuesta;Arenita lítica a sublítica; ; ; ; ; ; ; ; ;U–Pb;Circón detrítico; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548749;1063275;MAGNA_Colombia_Bogota;"9° 33' 27,561"" N";"73° 30' 04,161"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;Se presentan picos de edad a 1373, 1195, 1019, 918, 509, 260, 176 y 79 Ma;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2142;2143;4323;B39–EOC;Unidad informal La Loma;Arenita lítica a sublítica; ; ; ; ; ; ; ; ;U–Pb;Circón detrítico; ; ; ; ;97; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548749;1063275;MAGNA_Colombia_Bogota;"9° 33' 27,561"" N";"73° 30' 04,161"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;Se presentan picos de edad a 1393, 1182, 1039, 885, 474, 272, 175 y 50 Ma. La edad de 50,5 ± 1,1 Ma es la edad mínima de depósito, obtenida de circones volcánicos contemporáneos con el depósito. La edades heredadas son picos de edad en circones det;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2143;2144;4353;PITS–AG;Formación Los Cuervos;Arenita lítica a sublítica; ; ; ; ; ; ; ; ;U–Pb;Circón detrítico; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548749;1063275;MAGNA_Colombia_Bogota;"9° 33' 27,561"" N";"73° 30' 04,161"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;Se presentan picos de edad a 1584, 1168, 574, 451, 275 y 86 Ma;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2144;2145;4360;SOR–M45;Formación Los Cuervos;Arenita lítica a sublítica; ; ;58,67;± 0,46; ; ;Paleoceno (E1); ;U–Pb;Circón detrítico; ; ; ; ;3; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548797;1087429;MAGNA_Colombia_Bogota;"9° 33' 27,551"" N";"73° 16' 52,191"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;58,67 ± 0,46 Ma es la edad mínima de depósito, obtenida de circones volcánicos sinorogénicos contemporáneos con el depósito;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2145;2146;4362;PITC–RO;Formación Los Cuervos;Arenita lítica a sublítica; ; ; ; ; ; ; ; ;U–Pb;Circón detrítico; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548749;1063275;MAGNA_Colombia_Bogota;"9° 33' 27,561"" N";"73° 30' 04,161"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;Se presentan picos de edad a 1030, 572, 460, 238, 160 y 96 Ma;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2146;2147;4365;BARCO1E;Formación Barco;Arenita lítica a sublítica; ; ; ; ; ; ; ; ;U–Pb;Circón detrítico; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548749;1063275;MAGNA_Colombia_Bogota;"9° 33' 27,561"" N";"73° 30' 04,161"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;Se presentan picos de edad a 1932, 1830, 1542, 1338, 987, 612, 516 y 80 Ma, este último pico es coincidente con el evento magmático en la cordillera Central que inicia en el Cretácico Tardío coincidente con el pulso de levantamiento de la cordillera;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2147;2148;4372;DIABLITO1E;Formación Colón;Arenita lítica a sublítica; ; ; ; ; ; ; ; ;U–Pb;Circón detrítico; ; ; ; ; ; ;Se obtuvo las coordenadas del punto a partir de la georreferenciación de la Figura 14;1548749;1063275;MAGNA_Colombia_Bogota;"9° 33' 27,561"" N";"73° 30' 04,161"" W";Ayala, R.C., Bayona, G., Ojeda, C., Cardona, A., Valencia, V.A., Padrón, C.E., Yoris, F., Mesa, J. & García, A. 2009. Estratigrafía y procedencia de las unidades comprendidas entre el Campaniano y el Paleógeno en la subcuenca de Cesar: Aportes a la e;Ayala et al. (2009);19;Se presentan picos de edad a 2030, 1814, 1563 y 1237 Ma;http://www.revistas.unal.edu.co/index.php/geocol/article/view/32092
2148;2149;75;17;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 1070–930 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
2149;2150;83;16;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 1280–1070 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
2150;2151;132;15;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 2120–1900 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
2151;2152;193;12;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 2860–2740 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
2152;2153;194;14;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 2860–2750 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
2153;2154;234;13;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 3690–3470 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
2154;2155;284;11;Depósito lacustre;Materia orgánica; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimentos orgánicos; ; ; ; ; ; ; ;1284871;1105417;MAGNA_Colombia_Bogota;"7° 10' 16,390"" N";"73° 07' 23,364"" W";Diederix, H., Hernández, C., Torres, E., Osorio, J.A. & Botero, P. 2009. Resultados preliminares del primer estudio paleosismológico a lo largo de la Falla de Bucaramanga, Colombia. Universidad Pedagógica y Tecnológica de Colombia. Ingeniería, Inves;Diederix et al. (2009);91;Edad convencional (cf. columna Edad años BP). Edades calibradas de 4560–4550 y 4540–4410 años BP es la edad corregida a 2? y 95 % de probabilidad;http://virtual.uptc.edu.co/revistas2013f/index.php/ingenieria_sogamoso/article/view/903
